"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:6BMhrvODuuB1KasGoSM5S2","Formed A Band","spotify:artist:1gxXzfykdtDuod56hPkYyr","Art Brut","spotify:album:6NXmfJaoobwDcSDjkn2gOX","Bang Bang Rock and Roll","spotify:artist:1gxXzfykdtDuod56hPkYyr","Art Brut","2005-05-31","https://i.scdn.co/image/ab67616d0000b27351f3b52175170e34c1327b65","1","1","178680","https://p.scdn.co/mp3-preview/b3936ea5ec9ef0fe5b7c4f963d8da24ab99dbca3?cid=9950ac751e34487dbbe027c4fd7f8e99","false","23","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:4ObH8sGM2p55lWRyZEfe4n","No Return","spotify:artist:3dfQn1ijJNptfREJB2rRd2","Artificial Intelligence","spotify:album:5pPvQ0Sq3uh8f2xUh2BJKh","V Records Presents Retrospect Volume 2 Compiled By Bryan G","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2011-05-16","https://i.scdn.co/image/ab67616d0000b27373ae68bafa8f8167445296b7","1","12","382000","","false","0","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:5WdV3cj4TzwBIsKC6TdXyv","Astounded (feat. Curtis Mayfield)","spotify:artist:3D3blX3lLE3BCMdo3SOMlB, spotify:artist:2AV6XDIs32ofIJhkkDevjm","Bran Van 3000, Curtis Mayfield","spotify:album:1VOCArOlA6g196siP9ybuF","Discosis","spotify:artist:3D3blX3lLE3BCMdo3SOMlB","Bran Van 3000","2001","https://i.scdn.co/image/ab67616d0000b27371d48e02f32139d4090bf547","1","1","356840","","false","0","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:55MW1GQJyfxm85M9yy8hFU","True Skool","spotify:artist:5wnhqlZzXIq8aO9awQO2ND, spotify:artist:4sSSkVtrCTzENCgm2vokiY","Coldcut, Roots Manuva","spotify:album:4Cy6fDEjhkMccAiIF3vaDI","True Skool","spotify:artist:5wnhqlZzXIq8aO9awQO2ND","Coldcut","2006-04-16","https://i.scdn.co/image/ab67616d0000b27313a0bfba09dfb2c88443d0f5","1","6","214066","https://p.scdn.co/mp3-preview/0662118661f9d1601d4e791729c81f66e4fd5a43?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:5Pqx70EDbp6FInTc6stkrF","Free The Beast - Breakfastaz Remix","spotify:artist:1VoG7krHCftG4Z6ovXA5xc","The Breakfastaz","spotify:album:0TzJVGF5EUcDIlCmRNzRPQ","The Autobots Present: Broke'N'english","spotify:artist:6HL9jx2A6kwynNhP5dZCt6","Agent K","2002","https://i.scdn.co/image/ab67616d0000b273366f4dd61a3422782798bf98","1","16","261253","https://p.scdn.co/mp3-preview/ed1ce2f60efb89eb4b122b50744e1670aeaa054a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","14","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:3NnHbRoChijsTVSP8kQTp2","O Yeah","spotify:artist:5eZMLzpKYU5n4qAt5z4T13","End Of Fashion","spotify:album:2AUu4arz88yY0bGU84KjfD","End Of Fashion","spotify:artist:5eZMLzpKYU5n4qAt5z4T13","End Of Fashion","2005-01-01","https://i.scdn.co/image/ab67616d0000b273951d55a9a044878a8daafb1a","1","2","179768","","false","0","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:4dODv8j5TYAt9UiRxX1rfE","Flo Fashion","spotify:artist:4OiMbTr2kjcGbvb2LNauxT","Sway","spotify:album:093cVg8nHeCkLNmx82nTdM","This is my demo","spotify:artist:4OiMbTr2kjcGbvb2LNauxT","Sway","2005","https://i.scdn.co/image/ab67616d0000b2737c2434d93544e63b4a788338","1","6","217920","","true","0","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:5MhcPekQ42xaTSUTvkUYCL","Bite The Bullet","spotify:artist:5UjqeSp9dX6Nrge7WdDukr","Roni Size","spotify:album:6bKGPuC4oTVXp6SzjX9Rjb","Time Out / Bite The Bullet","spotify:artist:5UjqeSp9dX6Nrge7WdDukr","Roni Size","2005-12-19","https://i.scdn.co/image/ab67616d0000b27327300d8244b8d2106ea399db","1","2","356106","","false","0","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:0MMWj8de7P5rm4OnsJzlMn","Follow","spotify:artist:75EZuo5MHV2572NRpMWotC","Crystal Fighters","spotify:album:1bj3W2riKHMas7gH2TxNrn","Star Of Love","spotify:artist:75EZuo5MHV2572NRpMWotC","Crystal Fighters","2010-10-03","https://i.scdn.co/image/ab67616d0000b273628a068f51c63aa85e385dbc","1","11","196480","","false","0","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:2CdNHP8DJ5tfbRoIRdcTeE","Quesadilla","spotify:artist:6DIS6PRrLS3wbnZsf7vYic","WALK THE MOON","spotify:album:1QhonXpNQq8wrGEKX0ofbk","Walk The Moon","spotify:artist:6DIS6PRrLS3wbnZsf7vYic","WALK THE MOON","2012-06-19","https://i.scdn.co/image/ab67616d0000b2737f768e99c363b6ee0995556e","1","1","195280","https://p.scdn.co/mp3-preview/267eba57fe828bd71584725a5f8dcaf5a1c54cf0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:6YvP6BkFG912BHoq7ZNrLD","Bam Bam","spotify:artist:21pMSs2JHWwwy2kp1QIIVB","Sister Nancy","spotify:album:57SG08WoZOKoxvf0w01GG4","Total Reggae: Summer Hits","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2009-05-01","https://i.scdn.co/image/ab67616d0000b273c41e378e77006bd84ff8befe","1","3","190080","https://p.scdn.co/mp3-preview/4c1546f686565d07ce893f5249815ca8b7ae57e2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:5lPJxPZKyKr6Jknzd2Nyxr","See The Light - Original Mix","spotify:artist:0sQ1wgSdRpoysgsa1VnI4G, spotify:artist:1rMry8Rh7VRoaKFWezSaMB","Foreign Beggars, Bare Noize","spotify:album:2CFutHwcQINkHSixu0xIeE","The Uprising (Spotify Package)","spotify:artist:0sQ1wgSdRpoysgsa1VnI4G","Foreign Beggars","2012-10-01","https://i.scdn.co/image/ab67616d0000b273ed437655e75fbeb34d4c5226","1","12","287632","","false","0","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:78xOxDHxkTTgdnQ4ItdG4K","Mark IV with Joshua Radin (From Fifa13)","spotify:artist:2CbWPZkwLi0ZAcL9dtqjWk","Ashtar Command","spotify:album:1XZXaHFhHXc9sZ4GPrObDt","Mark IV with Joshua Radin (From Fifa13)","spotify:artist:2CbWPZkwLi0ZAcL9dtqjWk","Ashtar Command","2012-10-01","https://i.scdn.co/image/ab67616d0000b27326d63a90aef98d21379b8d8e","1","1","341761","https://p.scdn.co/mp3-preview/71606f1a9303a4de18dde19c4be3e0b904933ecd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","24","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:1MeJd7atZUOKHA4vE1q7R9","Tekkno Scene","spotify:artist:134GdR5tUtxJrf8cpsfpyY, spotify:artist:7iXy0wugsZgVfKxl4amtad","Elliphant, Adam Kanyama","spotify:album:3emMyBGhAsSNWiBejuqK2W","Tekkno Scene","spotify:artist:134GdR5tUtxJrf8cpsfpyY","Elliphant","2012-01-01","https://i.scdn.co/image/ab67616d0000b2735c6039002318c519040afcd9","1","1","236760","https://p.scdn.co/mp3-preview/0561992585658034b352c01df5502179c5959041?cid=9950ac751e34487dbbe027c4fd7f8e99","false","6","spotify:user:hcg.12","2021-10-04T03:00:45Z"
"spotify:track:3M3XmdO3X08mmrlT1LfuTE","Bliss Out","spotify:artist:1369EOxSlL69yV9Yp1nVaR","Hadouken!","spotify:album:2Q3RDfmo70xroodcVfdb7x","Every Weekend","spotify:artist:1369EOxSlL69yV9Yp1nVaR","Hadouken!","2013-03-18","https://i.scdn.co/image/ab67616d0000b27344a98a74e175ab87d39301a5","1","3","203965","https://p.scdn.co/mp3-preview/e7ce3875baabfbdff29723f42bd579911bd12880?cid=9950ac751e34487dbbe027c4fd7f8e99","false","29","spotify:user:hcg.12","2021-10-04T03:00:45Z"
